chr7	0.054415531	0.000199027
chr20	0.021006368	0.000146755
chr22	0.01281191	0.000108739
chr14	0.03117261	0.000141194
chrY	0.001922742	0.000364305
chr19	0.01832742	0.000264961
chr8	0.050876571	0.000257153
chr1	0.080088017	0.000195767
chr11	0.046753915	0.000220352
chr6	0.058991426	0.000217277
chr17	0.027131746	0.000264302
chr21	0.012327789	0.000190183
chr16	0.02750531	0.000282299
chr18	0.02671501	0.000698112
chr3	0.06991462	0.000248325
chr12	0.045839193	0.000181582
chr15	0.028744129	0.000178951
chrX	0.051756768	0.001456019
chr4	0.06679505	0.0002945
chr2	0.084730891	0.000490621
chr9	0.038947093	0.0001874
chr13	0.033935857	0.000182341
chr10	0.04637243	0.00018503
chr5	0.062917605	0.000352253
